
BUYING:[X] 22:37:44 08.01.24 | CONUTER:0 time_diff =>260
BUYING:[0k] 22:52:14 08.01.24 | CONUTER:6 time_diff =>3
BUYING:[0k] 22:52:17 08.01.24 | CONUTER:7 time_diff =>3
BUYING:[0k] 22:52:19 08.01.24 | CONUTER:8 time_diff =>2
BUYING:[0k] 22:52:21 08.01.24 | CONUTER:9 time_diff =>2
BUYING:[X] 22:52:29 08.01.24 | CONUTER:0 time_diff =>8
BUYING:[X] 22:52:45 08.01.24 | CONUTER:0 time_diff =>16
BUYING:[0k] 22:52:47 08.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 22:52:50 08.01.24 | CONUTER:2 time_diff =>3
BUYING:[0k] 22:52:52 08.01.24 | CONUTER:3 time_diff =>2
BUYING:[0k] 22:52:57 08.01.24 | CONUTER:4 time_diff =>5
BUYING:[0k] 22:53:00 08.01.24 | CONUTER:5 time_diff =>3
BUYING:[0k] 22:53:03 08.01.24 | CONUTER:6 time_diff =>3
BUYING:[0k] 22:53:06 08.01.24 | CONUTER:7 time_diff =>3
BUYING:[0k] 22:53:08 08.01.24 | CONUTER:8 time_diff =>2
BUYING:[0k] 22:53:11 08.01.24 | CONUTER:9 time_diff =>3
BUYING:[0k] 22:53:13 08.01.24 | CONUTER:10 time_diff =>2
BUYING:[0k] 22:53:16 08.01.24 | CONUTER:11 time_diff =>3
BUYING:[0k] 22:53:18 08.01.24 | CONUTER:12 time_diff =>2
BUYING:[0k] 22:53:21 08.01.24 | CONUTER:13 time_diff =>3
BUYING:[0k] 22:53:23 08.01.24 | CONUTER:14 time_diff =>2
BUYING:[0k] 22:53:26 08.01.24 | CONUTER:15 time_diff =>3
BUYING:[0k] 22:53:28 08.01.24 | CONUTER:16 time_diff =>2
BUYING:[0k] 22:53:31 08.01.24 | CONUTER:17 time_diff =>3
BUYING:[0k] 22:53:34 08.01.24 | CONUTER:18 time_diff =>3
BUYING:[0k] 22:53:36 08.01.24 | CONUTER:19 time_diff =>2
BUYING:[0k] 22:53:39 08.01.24 | CONUTER:20 time_diff =>3
BUYING:[0k] 22:53:41 08.01.24 | CONUTER:21 time_diff =>2
True BUYING: 22:53:41  price:46873.149 
	#46825.147#46873.149#46858.995#46862.263 
	-48.00200000000041 > 14.153999999994994
	------------------------------

SELL:[X] 22:59:23 08.01.24 | CONUTER:0 time_diff =>342
SELL:[0k] 22:59:26 08.01.24 | CONUTER:1 time_diff =>3
SELL:[0k] 22:59:28 08.01.24 | CONUTER:2 time_diff =>2
SELL:[0k] 22:59:31 08.01.24 | CONUTER:3 time_diff =>3
SELL:[0k] 22:59:34 08.01.24 | CONUTER:4 time_diff =>3
SELL:[0k] 22:59:36 08.01.24 | CONUTER:5 time_diff =>2
SELL:[0k] 22:59:39 08.01.24 | CONUTER:6 time_diff =>3
SELL:[0k] 22:59:44 08.01.24 | CONUTER:7 time_diff =>5
=======<><><><><><><><><><><><><><><><><>======
    SELLING: 22:59:43  price:46736.007
	#| PROF=>46736.007 - 46873.149=> -0.29258115344458685% |#
	#46736.007#46765.052#46765.073#46809.167 
	------------------------------


BUYING:[X] 23:03:12 08.01.24 | CONUTER:0 time_diff =>208
BUYING:[0k] 23:03:17 08.01.24 | CONUTER:1 time_diff =>5
BUYING:[0k] 23:03:19 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 23:03:22 08.01.24 | CONUTER:3 time_diff =>3
BUYING:[0k] 23:03:24 08.01.24 | CONUTER:4 time_diff =>2
BUYING:[X] 23:07:26 08.01.24 | CONUTER:0 time_diff =>242
BUYING:[0k] 23:07:29 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 23:07:31 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 23:07:34 08.01.24 | CONUTER:3 time_diff =>3
BUYING:[0k] 23:07:36 08.01.24 | CONUTER:4 time_diff =>2
BUYING:[0k] 23:07:39 08.01.24 | CONUTER:5 time_diff =>3
BUYING:[0k] 23:07:41 08.01.24 | CONUTER:6 time_diff =>2
BUYING:[0k] 23:07:44 08.01.24 | CONUTER:7 time_diff =>3
BUYING:[0k] 23:07:47 08.01.24 | CONUTER:8 time_diff =>3
BUYING:[0k] 23:07:49 08.01.24 | CONUTER:9 time_diff =>2
BUYING:[0k] 23:07:52 08.01.24 | CONUTER:10 time_diff =>3
BUYING:[X] 23:08:04 08.01.24 | CONUTER:0 time_diff =>12
BUYING:[0k] 23:08:07 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 23:08:09 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 23:08:12 08.01.24 | CONUTER:3 time_diff =>3
BUYING:[0k] 23:08:15 08.01.24 | CONUTER:4 time_diff =>3
BUYING:[0k] 23:08:17 08.01.24 | CONUTER:5 time_diff =>2
BUYING:[0k] 23:08:20 08.01.24 | CONUTER:6 time_diff =>3
BUYING:[0k] 23:08:22 08.01.24 | CONUTER:7 time_diff =>2
BUYING:[0k] 23:08:25 08.01.24 | CONUTER:8 time_diff =>3
BUYING:[0k] 23:08:27 08.01.24 | CONUTER:9 time_diff =>2
BUYING:[0k] 23:08:30 08.01.24 | CONUTER:10 time_diff =>3
BUYING:[0k] 23:08:32 08.01.24 | CONUTER:11 time_diff =>2
BUYING:[0k] 23:08:35 08.01.24 | CONUTER:12 time_diff =>3
BUYING:[0k] 23:08:38 08.01.24 | CONUTER:13 time_diff =>3
BUYING:[0k] 23:08:40 08.01.24 | CONUTER:14 time_diff =>2
BUYING:[0k] 23:08:43 08.01.24 | CONUTER:15 time_diff =>3
BUYING:[0k] 23:08:45 08.01.24 | CONUTER:16 time_diff =>2
BUYING:[0k] 23:08:48 08.01.24 | CONUTER:17 time_diff =>3
BUYING:[0k] 23:08:50 08.01.24 | CONUTER:18 time_diff =>2
BUYING:[X] 23:09:01 08.01.24 | CONUTER:0 time_diff =>11
BUYING:[0k] 23:09:03 08.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 23:09:06 08.01.24 | CONUTER:2 time_diff =>3
BUYING:[0k] 23:09:08 08.01.24 | CONUTER:3 time_diff =>2
BUYING:[0k] 23:09:11 08.01.24 | CONUTER:4 time_diff =>3
BUYING:[0k] 23:09:13 08.01.24 | CONUTER:5 time_diff =>2
BUYING:[0k] 23:09:16 08.01.24 | CONUTER:6 time_diff =>3
BUYING:[0k] 23:09:18 08.01.24 | CONUTER:7 time_diff =>2
BUYING:[0k] 23:09:21 08.01.24 | CONUTER:8 time_diff =>3
BUYING:[0k] 23:09:24 08.01.24 | CONUTER:9 time_diff =>3
BUYING:[0k] 23:09:26 08.01.24 | CONUTER:10 time_diff =>2
BUYING:[0k] 23:09:29 08.01.24 | CONUTER:11 time_diff =>3
BUYING:[0k] 23:09:31 08.01.24 | CONUTER:12 time_diff =>2
BUYING:[0k] 23:09:34 08.01.24 | CONUTER:13 time_diff =>3
BUYING:[X] 23:10:17 08.01.24 | CONUTER:0 time_diff =>43
BUYING:[0k] 23:10:20 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 23:10:22 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 23:10:25 08.01.24 | CONUTER:3 time_diff =>3
BUYING:[0k] 23:10:28 08.01.24 | CONUTER:4 time_diff =>3
BUYING:[0k] 23:10:30 08.01.24 | CONUTER:5 time_diff =>2
BUYING:[0k] 23:10:33 08.01.24 | CONUTER:6 time_diff =>3
BUYING:[0k] 23:10:35 08.01.24 | CONUTER:7 time_diff =>2
BUYING:[0k] 23:10:38 08.01.24 | CONUTER:8 time_diff =>3
BUYING:[X] 23:11:36 08.01.24 | CONUTER:0 time_diff =>58
BUYING:[0k] 23:11:39 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 23:11:41 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 23:11:44 08.01.24 | CONUTER:3 time_diff =>3
BUYING:[X] 23:12:59 08.01.24 | CONUTER:0 time_diff =>75
BUYING:[0k] 23:13:01 08.01.24 | CONUTER:1 time_diff =>2
BUYING:[X] 23:16:00 08.01.24 | CONUTER:0 time_diff =>179
BUYING:[0k] 23:16:03 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 23:16:05 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[X] 23:16:16 08.01.24 | CONUTER:0 time_diff =>11
BUYING:[0k] 23:16:18 08.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 23:16:21 08.01.24 | CONUTER:2 time_diff =>3
BUYING:[X] 23:16:31 08.01.24 | CONUTER:0 time_diff =>10
BUYING:[0k] 23:16:34 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[X] 23:16:52 08.01.24 | CONUTER:0 time_diff =>18
BUYING:[0k] 23:16:54 08.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 23:16:57 08.01.24 | CONUTER:2 time_diff =>3
BUYING:[0k] 23:16:59 08.01.24 | CONUTER:3 time_diff =>2
BUYING:[0k] 23:17:02 08.01.24 | CONUTER:4 time_diff =>3
BUYING:[0k] 23:17:04 08.01.24 | CONUTER:5 time_diff =>2
BUYING:[0k] 23:17:07 08.01.24 | CONUTER:6 time_diff =>3
BUYING:[0k] 23:17:09 08.01.24 | CONUTER:7 time_diff =>2
BUYING:[0k] 23:17:12 08.01.24 | CONUTER:8 time_diff =>3
BUYING:[0k] 23:17:15 08.01.24 | CONUTER:9 time_diff =>3
BUYING:[0k] 23:17:17 08.01.24 | CONUTER:10 time_diff =>2
BUYING:[0k] 23:17:19 08.01.24 | CONUTER:11 time_diff =>2
BUYING:[0k] 23:17:22 08.01.24 | CONUTER:12 time_diff =>3
BUYING:[0k] 23:17:25 08.01.24 | CONUTER:13 time_diff =>3
BUYING:[0k] 23:17:27 08.01.24 | CONUTER:14 time_diff =>2
BUYING:[0k] 23:17:30 08.01.24 | CONUTER:15 time_diff =>3
BUYING:[0k] 23:17:32 08.01.24 | CONUTER:16 time_diff =>2
BUYING:[X] 23:17:40 08.01.24 | CONUTER:0 time_diff =>8
BUYING:[0k] 23:17:42 08.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 23:17:45 08.01.24 | CONUTER:2 time_diff =>3
BUYING:[X] 23:22:46 08.01.24 | CONUTER:0 time_diff =>301
BUYING:[0k] 23:22:49 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 23:22:51 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 23:22:54 08.01.24 | CONUTER:3 time_diff =>3
BUYING:[0k] 23:22:56 08.01.24 | CONUTER:4 time_diff =>2
BUYING:[0k] 23:22:59 08.01.24 | CONUTER:5 time_diff =>3
BUYING:[X] 23:23:17 08.01.24 | CONUTER:0 time_diff =>18
BUYING:[0k] 23:23:20 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[X] 23:30:38 08.01.24 | CONUTER:0 time_diff =>438
BUYING:[X] 23:31:16 08.01.24 | CONUTER:0 time_diff =>38
BUYING:[0k] 23:31:18 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 23:31:21 08.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 23:31:23 08.01.24 | CONUTER:3 time_diff =>2
BUYING:[0k] 23:31:26 08.01.24 | CONUTER:4 time_diff =>3
BUYING:[0k] 23:31:28 08.01.24 | CONUTER:5 time_diff =>2
BUYING:[0k] 23:31:31 08.01.24 | CONUTER:6 time_diff =>3
BUYING:[0k] 23:31:33 08.01.24 | CONUTER:7 time_diff =>2
BUYING:[0k] 23:31:36 08.01.24 | CONUTER:8 time_diff =>3
BUYING:[0k] 23:31:38 08.01.24 | CONUTER:9 time_diff =>2
BUYING:[0k] 23:31:41 08.01.24 | CONUTER:10 time_diff =>3
BUYING:[0k] 23:31:43 08.01.24 | CONUTER:11 time_diff =>2
BUYING:[0k] 23:31:46 08.01.24 | CONUTER:12 time_diff =>3
BUYING:[0k] 23:31:48 08.01.24 | CONUTER:13 time_diff =>2
BUYING:[0k] 23:31:50 08.01.24 | CONUTER:14 time_diff =>2
BUYING:[0k] 23:31:53 08.01.24 | CONUTER:15 time_diff =>3
BUYING:[0k] 23:31:55 08.01.24 | CONUTER:16 time_diff =>2
BUYING:[0k] 23:31:58 08.01.24 | CONUTER:17 time_diff =>3
BUYING:[0k] 23:32:00 08.01.24 | CONUTER:18 time_diff =>2
BUYING:[0k] 23:32:03 08.01.24 | CONUTER:19 time_diff =>3
BUYING:[0k] 23:32:06 08.01.24 | CONUTER:20 time_diff =>3
BUYING:[0k] 23:32:08 08.01.24 | CONUTER:21 time_diff =>2
True BUYING: 23:32:08  price:46950.99 
	#46887.024#46950.99#46940.451#46943.605 
	-63.96600000000035 > 10.538999999997031
	------------------------------

SELL:[X] 23:46:16 08.01.24 | CONUTER:0 time_diff =>848
SELL:[0k] 23:46:18 08.01.24 | CONUTER:1 time_diff =>2
SELL:[0k] 23:46:21 08.01.24 | CONUTER:2 time_diff =>3
SELL:[0k] 23:46:24 08.01.24 | CONUTER:3 time_diff =>3
SELL:[0k] 23:46:26 08.01.24 | CONUTER:4 time_diff =>2
SELL:[0k] 23:46:29 08.01.24 | CONUTER:5 time_diff =>3
SELL:[0k] 23:46:32 08.01.24 | CONUTER:6 time_diff =>3
SELL:[X] 23:50:27 08.01.24 | CONUTER:0 time_diff =>235
SELL:[0k] 23:50:30 08.01.24 | CONUTER:1 time_diff =>3
SELL:[0k] 23:50:33 08.01.24 | CONUTER:2 time_diff =>3
SELL:[0k] 23:50:35 08.01.24 | CONUTER:3 time_diff =>2
SELL:[0k] 23:50:38 08.01.24 | CONUTER:4 time_diff =>3
SELL:[0k] 23:50:40 08.01.24 | CONUTER:5 time_diff =>2
SELL:[0k] 23:50:43 08.01.24 | CONUTER:6 time_diff =>3
SELL:[X] 23:51:03 08.01.24 | CONUTER:0 time_diff =>20
SELL:[0k] 23:51:05 08.01.24 | CONUTER:1 time_diff =>2
SELL:[0k] 23:51:08 08.01.24 | CONUTER:2 time_diff =>3
SELL:[0k] 23:51:10 08.01.24 | CONUTER:3 time_diff =>2
SELL:[0k] 23:51:13 08.01.24 | CONUTER:4 time_diff =>3
SELL:[0k] 23:51:15 08.01.24 | CONUTER:5 time_diff =>2
SELL:[0k] 23:51:18 08.01.24 | CONUTER:6 time_diff =>3
SELL:[0k] 23:51:20 08.01.24 | CONUTER:7 time_diff =>2
=======<><><><><><><><><><><><><><><><><>======
    SELLING: 23:51:20  price:47073.909
	#| PROF=>47073.909 - 46950.99=> 0.2618027862671302% |#
	#47073.909#47081.636#47082.951#47109.54 
	------------------------------


BUYING:[X] 23:54:29 08.01.24 | CONUTER:0 time_diff =>189
BUYING:[X] 23:54:47 08.01.24 | CONUTER:0 time_diff =>18
BUYING:[0k] 23:54:52 08.01.24 | CONUTER:1 time_diff =>5
BUYING:[X] 23:55:15 08.01.24 | CONUTER:0 time_diff =>23
BUYING:[0k] 23:55:18 08.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 23:55:23 08.01.24 | CONUTER:2 time_diff =>5
BUYING:[0k] 23:55:26 08.01.24 | CONUTER:3 time_diff =>3
BUYING:[0k] 23:55:28 08.01.24 | CONUTER:4 time_diff =>2
BUYING:[0k] 23:55:31 08.01.24 | CONUTER:5 time_diff =>3
BUYING:[0k] 23:55:33 08.01.24 | CONUTER:6 time_diff =>2
BUYING:[0k] 23:55:36 08.01.24 | CONUTER:7 time_diff =>3
BUYING:[0k] 23:55:38 08.01.24 | CONUTER:8 time_diff =>2
BUYING:[0k] 23:55:41 08.01.24 | CONUTER:9 time_diff =>3
BUYING:[0k] 23:55:43 08.01.24 | CONUTER:10 time_diff =>2
BUYING:[X] 23:55:51 08.01.24 | CONUTER:0 time_diff =>8
BUYING:[0k] 23:55:53 08.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 23:55:56 08.01.24 | CONUTER:2 time_diff =>3
BUYING:[0k] 23:55:58 08.01.24 | CONUTER:3 time_diff =>2
BUYING:[0k] 23:56:01 08.01.24 | CONUTER:4 time_diff =>3
BUYING:[0k] 23:56:03 08.01.24 | CONUTER:5 time_diff =>2
